game num,round num,num_turns,duration (ms),winner,team-1 strategy,team-2 strategy,player1 pts,player2 pts,player3 pts,player4 pts,started on set,went out first,personal points scored ig,personal points scored eog
1,1,23,0.1171668991446495,player-1,min-count,min-count,7,2,1,1,player-3,player-1,1,6
1,2,24,0.09120814502239227,player-3,min-count,min-count,7,8,3,6,player-4,player-3,1,1
1,3,24,0.1093749888241291,player-4,min-count,min-count,12,8,9,8,player-1,player-4,1,1
1,4,24,0.09020790457725525,player-1,min-count,min-count,14,13,9,14,player-2,player-1,1,1
1,5,24,0.07933308370411396,player-2,min-count,min-count,20,15,14,14,player-3,player-2,1,1
1,6,24,0.11170795187354088,player-3,min-count,min-count,20,21,16,19,player-4,player-3,1,1
1,7,24,0.08220807649195194,player-4,min-count,min-count,25,21,22,21,player-1,player-4,1,1
1,8,24,0.0779579859226942,player-1,min-count,min-count,27,26,22,27,player-2,player-1,1,1
1,9,24,0.07583317346870899,player-2,min-count,min-count,33,28,27,27,player-3,player-2,1,1
1,10,24,0.07808394730091095,player-3,min-count,min-count,33,34,29,32,player-4,player-3,1,1
1,11,24,0.07537496276199818,player-4,min-count,min-count,38,34,35,34,player-1,player-4,1,1
1,12,24,0.0752920750528574,player-1,min-count,min-count,40,39,35,40,player-2,player-1,1,1
1,13,24,0.07516611367464066,player-2,min-count,min-count,46,41,40,40,player-3,player-2,1,1
1,14,24,0.07212487980723381,player-3,min-count,min-count,46,47,42,45,player-4,player-3,1,1
1,15,24,0.07716706022620201,player-4,min-count,min-count,51,47,48,47,player-1,player-4,1,1
1,16,24,0.07449998520314693,player-1,min-count,min-count,53,52,48,53,player-2,player-1,1,1
2,1,40,0.12937490828335285,player-4,min-count,min-count,2,3,15,3,player-1,player-4,1,2
2,2,17,0.05587516352534294,player-2,min-count,min-count,2,4,18,5,player-2,player-2,1,0
2,3,17,0.06095808930695057,player-3,min-count,min-count,10,9,22,9,player-3,player-3,2,2
2,4,18,0.06587500683963299,player-1,min-count,min-count,18,11,28,11,player-4,player-1,8,0
2,5,17,0.05191704258322716,player-1,min-count,min-count,29,13,28,14,player-1,player-1,3,8
2,6,17,0.07362500764429569,player-2,min-count,min-count,32,23,28,20,player-2,player-2,8,2
2,7,21,0.0752501655369997,player-3,min-count,min-count,36,23,36,22,player-3,player-3,7,1
2,8,17,0.10108295828104019,player-4,min-count,min-count,40,28,44,27,player-4,player-4,4,1
2,9,18,0.05262484773993492,player-2,min-count,min-count,40,35,45,29,player-1,player-2,4,3
2,10,17,0.0713749323040247,player-2,min-count,min-count,42,38,48,33,player-2,player-2,2,1
2,11,17,0.06070802919566631,player-3,min-count,min-count,43,40,57,36,player-3,player-3,8,1
3,1,29,0.08124997839331627,player-3,min-count,min-count,2,2,2,4,player-3,player-3,1,1
3,2,17,0.08620810694992542,player-4,min-count,min-count,2,8,3,13,player-4,player-4,8,1
3,3,44,0.13508298434317112,player-4,min-count,min-count,3,26,3,19,player-1,player-4,4,2
3,4,17,0.07162499241530895,player-2,min-count,min-count,3,29,3,22,player-2,player-2,2,1
3,5,33,0.09591691195964813,player-3,min-count,min-count,4,29,4,29,player-3,player-3,0,1
3,6,18,0.06745802238583565,player-1,min-count,min-count,6,30,14,33,player-4,player-1,1,1
3,7,17,0.0749579630792141,player-1,min-count,min-count,12,35,16,36,player-1,player-1,4,2
3,8,17,0.06554089486598969,player-2,min-count,min-count,18,36,21,38,player-2,player-2,1,0
3,9,17,0.04987488500773907,player-3,min-count,min-count,21,37,25,40,player-3,player-3,2,2
3,10,17,0.05875015631318092,player-4,min-count,min-count,22,37,30,46,player-4,player-4,5,1
3,11,17,0.06054108962416649,player-1,min-count,min-count,27,37,31,47,player-1,player-1,3,2
3,12,17,0.06195809692144394,player-2,min-count,min-count,29,50,32,49,player-2,player-2,2,11
3,13,17,0.06991601549088955,player-3,min-count,min-count,32,54,39,51,player-3,player-3,4,3
4,1,17,0.06191711872816086,player-3,min-count,min-count,2,0,10,3,player-3,player-3,9,1
4,2,21,0.06295787170529366,player-4,min-count,min-count,3,5,10,10,player-4,player-4,1,6
4,3,31,0.09920797310769558,player-3,min-count,min-count,7,5,12,12,player-1,player-3,1,1
4,4,19,0.05137501284480095,player-4,min-count,min-count,7,6,12,19,player-2,player-4,5,2
4,5,24,0.07720803841948509,player-2,min-count,min-count,12,7,15,19,player-3,player-2,0,1
4,6,18,0.05620904266834259,player-1,min-count,min-count,12,8,16,19,player-4,player-1,0,0
4,7,17,0.07895799353718758,player-1,min-count,min-count,17,10,21,26,player-1,player-1,1,4
4,8,17,0.06737490184605122,player-2,min-count,min-count,22,20,24,28,player-2,player-2,2,8
4,9,20,0.08483300916850567,player-2,min-count,min-count,22,28,34,28,player-3,player-2,6,2
4,10,17,0.06862496957182884,player-4,min-count,min-count,24,32,36,30,player-4,player-4,2,0
4,11,17,0.05179201252758503,player-1,min-count,min-count,27,33,36,33,player-1,player-1,3,0
4,12,17,0.07154187187552452,player-2,min-count,min-count,34,37,36,34,player-2,player-2,2,2
4,13,17,0.1129999291151762,player-3,min-count,min-count,39,38,47,34,player-3,player-3,3,8
4,14,18,0.07645878940820694,player-1,min-count,min-count,51,38,52,34,player-4,player-1,1,11
5,1,18,0.08395896293222904,player-4,min-count,min-count,4,6,2,8,player-3,player-4,3,5
5,2,17,0.07091602310538292,player-4,min-count,min-count,7,8,6,15,player-4,player-4,5,2
5,3,17,0.05804188549518585,player-1,min-count,min-count,13,10,9,16,player-1,player-1,5,1
5,4,18,0.0752077903598547,player-3,min-count,min-count,13,14,16,17,player-2,player-3,4,3
5,5,19,0.08150003850460052,player-1,min-count,min-count,25,18,24,21,player-3,player-1,3,9
5,6,24,0.07233396172523499,player-3,min-count,min-count,32,21,33,23,player-4,player-3,4,5
5,7,17,0.0754999928176403,player-1,min-count,min-count,35,26,33,25,player-1,player-1,2,1
5,8,21,0.06870785728096962,player-2,min-count,min-count,39,38,34,26,player-2,player-2,4,8
5,9,22,0.07974985055625439,player-4,min-count,min-count,41,40,37,28,player-3,player-4,1,1
5,10,17,0.06641680374741554,player-4,min-count,min-count,45,41,40,33,player-4,player-4,2,3
5,11,18,0.05529192276299,player-2,min-count,min-count,48,47,41,37,player-1,player-2,2,4
5,12,28,0.15941704623401165,player-1,min-count,min-count,57,48,52,41,player-2,player-1,1,8
6,1,17,0.062374863773584366,player-3,min-count,min-count,3,2,8,0,player-3,player-3,2,6
6,2,29,0.08658296428620815,none,min-count,min-count,4,5,9,3,player-4,none,6,0
6,3,20,0.07804087363183498,player-4,min-count,min-count,7,9,12,8,player-1,player-4,5,0
6,4,22,0.07729209028184414,player-3,min-count,min-count,8,11,16,10,player-2,player-3,3,1
6,5,28,0.08508400060236454,player-2,min-count,min-count,10,19,20,13,player-3,player-2,4,4
6,6,25,0.08050003089010715,player-4,min-count,min-count,14,22,20,20,player-4,player-4,5,2
6,7,18,0.0700000673532486,player-2,min-count,min-count,17,24,20,21,player-1,player-2,1,1
6,8,17,0.06687501445412636,player-2,min-count,min-count,22,39,22,24,player-2,player-2,3,12
6,9,18,0.06654206663370132,player-4,min-count,min-count,26,39,24,26,player-3,player-4,2,0
6,10,17,0.0602498184889555,player-4,min-count,min-count,27,41,27,33,player-4,player-4,6,1
6,11,19,0.10979105718433857,player-3,min-count,min-count,31,41,34,37,player-1,player-3,0,7
6,12,17,0.09079207666218281,player-2,min-count,min-count,36,47,34,42,player-2,player-2,5,1
6,13,16,0.056374818086624146,none,min-count,min-count,36,48,36,45,player-3,none,4,0
6,14,20,0.07375003769993782,player-3,min-count,min-count,39,53,50,46,player-4,player-3,3,11
6,15,20,0.07304106839001179,player-4,min-count,min-count,42,56,53,53,player-1,player-4,5,2
7,1,17,0.08295895531773567,player-1,min-count,min-count,6,1,3,2,player-1,player-1,6,0
7,2,18,0.06925011985003948,player-3,min-count,min-count,14,8,10,2,player-2,player-3,6,1
7,3,19,0.06516603752970695,player-1,min-count,min-count,18,10,12,8,player-3,player-1,1,3
7,4,17,0.07424992509186268,player-4,min-count,min-count,22,11,15,15,player-4,player-4,5,2
7,5,19,0.05825003609061241,player-3,min-count,min-count,25,11,17,16,player-1,player-3,0,2
7,6,38,0.09320909157395363,none,min-count,min-count,27,11,21,16,player-2,none,0,0
7,7,17,0.06308313459157944,player-3,min-count,min-count,33,15,26,18,player-3,player-3,5,0
7,8,18,0.0789170153439045,player-1,min-count,min-count,39,17,27,20,player-4,player-1,0,6
7,9,21,0.10237493552267551,player-1,min-count,min-count,42,24,28,20,player-1,player-1,2,1
7,10,18,0.10487507097423077,player-3,min-count,min-count,45,26,38,23,player-2,player-3,5,5
7,11,19,0.09149988181889057,player-1,min-count,min-count,59,26,40,23,player-3,player-1,5,9
7,12,18,0.09745894931256771,player-1,min-count,min-count,66,26,47,28,player-4,player-1,5,2
8,1,17,0.057625118643045425,none,min-count,min-count,2,3,1,5,player-4,none,8,0
8,2,17,0.08037500083446503,player-1,min-count,min-count,9,6,1,8,player-1,player-1,2,5
8,3,18,0.07912516593933105,player-3,min-count,min-count,9,12,6,8,player-2,player-3,2,3
8,4,17,0.061542028561234474,player-3,min-count,min-count,11,19,10,11,player-3,player-3,4,0
8,5,20,0.08099991828203201,player-3,min-count,min-count,16,19,22,11,player-4,player-3,3,9
8,6,17,0.06400002166628838,player-1,min-count,min-count,18,22,25,11,player-1,player-1,0,2
8,7,18,0.061499886214733124,player-3,min-count,min-count,18,24,31,11,player-2,player-3,3,3
8,8,20,0.07520802319049835,player-2,min-count,min-count,21,32,32,13,player-3,player-2,5,3
8,9,19,0.06824987940490246,player-2,min-count,min-count,22,43,33,17,player-4,player-2,0,11
8,10,20,0.05929195322096348,none,min-count,min-count,22,45,34,23,player-1,none,8,0
8,11,17,0.0826660543680191,player-2,min-count,min-count,23,50,36,27,player-2,player-2,2,3
8,12,17,0.056499848142266273,player-3,min-count,min-count,23,51,39,29,player-3,player-3,2,1
8,13,17,0.058167148381471634,player-4,min-count,min-count,23,54,43,33,player-4,player-4,2,2
8,14,19,0.09404192678630352,player-3,min-count,min-count,31,57,54,39,player-1,player-3,0,11
8,15,24,0.07179193198680878,none,min-count,min-count,37,57,54,42,player-2,none,3,0
8,16,17,0.07212511263787746,player-3,min-count,min-count,38,59,59,44,player-3,player-3,3,2
9,1,19,0.05841720849275589,player-1,min-count,min-count,12,0,1,1,player-3,player-1,1,11
9,2,17,0.05950010381639004,player-4,min-count,min-count,13,3,4,5,player-4,player-4,2,2
9,3,21,0.07362500764429569,player-1,min-count,min-count,19,7,6,5,player-1,player-1,6,0
9,4,21,0.06287498399615288,player-2,min-count,min-count,19,11,12,5,player-2,player-2,2,2
9,5,19,0.0626659020781517,player-1,min-count,min-count,30,18,20,9,player-3,player-1,2,9
9,6,32,0.08254102431237698,none,min-count,min-count,32,19,23,11,player-4,none,3,0
9,7,18,0.07691700011491776,player-2,min-count,min-count,38,25,28,12,player-1,player-2,6,0
9,8,17,0.0702498946338892,player-2,min-count,min-count,38,33,28,15,player-2,player-2,3,5
9,9,18,0.0677080824971199,player-4,min-count,min-count,38,40,30,28,player-3,player-4,3,10
9,10,17,0.07612514309585094,player-4,min-count,min-count,40,42,32,32,player-4,player-4,3,1
9,11,32,0.09591714479029179,player-4,min-count,min-count,41,47,32,33,player-1,player-4,0,1
9,12,19,0.060916878283023834,player-4,min-count,min-count,45,48,33,37,player-2,player-4,0,4
9,13,17,0.07516704499721527,player-3,min-count,min-count,45,60,39,43,player-3,player-3,6,0
10,1,19,0.07987488061189651,player-1,min-count,min-count,10,0,4,2,player-3,player-1,1,9
10,2,33,0.09895791299641132,player-4,min-count,min-count,12,1,4,8,player-4,player-4,5,1
10,3,25,0.08308421820402145,player-1,min-count,min-count,18,10,8,9,player-1,player-1,2,4
10,4,18,0.0641250517219305,player-3,min-count,min-count,24,15,12,11,player-2,player-3,3,1
10,5,18,0.11487514711916447,player-4,min-count,min-count,24,15,14,14,player-3,player-4,2,1
10,6,21,0.07362477481365204,none,min-count,min-count,24,15,16,14,player-4,none,0,0
10,7,22,0.07899990305304527,player-2,min-count,min-count,27,25,21,16,player-1,player-2,4,6
10,8,17,0.0711251050233841,player-2,min-count,min-count,35,35,21,26,player-2,player-2,10,0
10,9,27,0.06316602230072021,none,min-count,min-count,41,35,22,26,player-3,none,0,0
10,10,17,0.07229088805615902,player-4,min-count,min-count,44,37,26,27,player-4,player-4,0,1
10,11,24,0.07175002247095108,player-4,min-count,min-count,46,37,35,33,player-1,player-4,4,2
10,12,20,0.07445900700986385,player-1,min-count,min-count,53,40,37,33,player-2,player-1,1,6
10,13,17,0.08591590449213982,player-3,min-count,min-count,55,42,42,33,player-3,player-3,5,0
10,14,17,0.07345899939537048,player-4,min-count,min-count,58,45,48,42,player-4,player-4,2,7
11,1,17,0.07175002247095108,player-4,min-count,min-count,5,0,4,6,player-4,player-4,3,3
11,2,17,0.05666702054440975,player-1,min-count,min-count,11,0,7,7,player-1,player-1,1,5
11,3,17,0.06929086521267891,player-2,min-count,min-count,14,14,13,9,player-2,player-2,3,11
11,4,30,0.08387514390051365,player-4,min-count,min-count,19,14,18,11,player-3,player-4,2,0
11,5,20,0.0825000461190939,player-3,min-count,min-count,23,22,28,12,player-4,player-3,5,5
11,6,17,0.06312504410743713,player-1,min-count,min-count,30,24,35,12,player-1,player-1,6,1
11,7,32,0.10383292101323605,player-1,min-count,min-count,30,28,37,13,player-2,player-1,0,0
11,8,24,0.07474981248378754,player-2,min-count,min-count,30,34,40,16,player-3,player-2,3,3
11,9,17,0.06537488661706448,player-4,min-count,min-count,31,41,43,19,player-4,player-4,2,1
11,10,18,0.061791157349944115,player-2,min-count,min-count,35,44,43,22,player-1,player-2,1,2
11,11,17,0.05462486296892166,player-2,min-count,min-count,35,45,43,24,player-2,player-2,1,0
11,12,18,0.05933409556746483,player-4,min-count,min-count,40,49,47,34,player-3,player-4,4,6
11,13,18,0.08216709829866886,player-1,min-count,min-count,43,52,52,38,player-4,player-1,3,0
11,14,19,0.17783301882445812,player-3,min-count,min-count,44,56,56,38,player-1,player-3,2,2
12,1,19,0.1437910832464695,player-1,min-count,min-count,6,4,4,1,player-3,player-1,0,6
12,2,18,0.29154098592698574,player-1,min-count,min-count,12,4,7,3,player-4,player-1,0,6
12,3,18,0.07587508298456669,player-2,min-count,min-count,12,4,7,5,player-1,player-2,0,0
12,4,25,0.46029197983443737,player-2,min-count,min-count,18,12,8,5,player-2,player-2,6,2
12,5,32,0.16895798034965992,player-2,min-count,min-count,22,18,9,10,player-3,player-2,2,4
12,6,30,0.16804179176688194,player-1,min-count,min-count,26,18,10,14,player-4,player-1,3,1
12,7,19,0.10329112410545349,player-3,min-count,min-count,29,20,19,14,player-1,player-3,3,6
12,8,18,0.09812484495341778,player-3,min-count,min-count,36,24,24,17,player-2,player-3,4,1
12,9,17,0.08537503890693188,player-3,min-count,min-count,45,24,33,20,player-3,player-3,7,2
12,10,18,0.09516696445643902,player-1,min-count,min-count,50,27,38,20,player-4,player-1,5,0
12,11,17,0.0817091204226017,player-1,min-count,min-count,57,27,40,24,player-1,player-1,5,2
12,12,18,0.10041682980954647,player-3,min-count,min-count,58,28,46,24,player-2,player-3,3,3
13,1,21,0.09174994193017483,none,min-count,min-count,0,1,2,1,player-1,none,2,0
13,2,17,0.07779081352055073,player-2,min-count,min-count,1,15,3,1,player-2,player-2,5,9
13,3,19,0.08716690354049206,player-1,min-count,min-count,12,19,4,3,player-3,player-1,4,7
13,4,17,0.06587500683963299,player-4,min-count,min-count,12,23,5,6,player-4,player-4,2,1
13,5,31,0.1149158924818039,none,min-count,min-count,12,25,12,8,player-1,none,4,0
13,6,17,0.09379093535244465,player-2,min-count,min-count,14,33,16,8,player-2,player-2,6,2
13,7,9,0.026458874344825745,none,min-count,min-count,15,33,16,9,player-3,none,1,0
13,8,17,0.07099984213709831,player-4,min-count,min-count,16,34,20,12,player-4,player-4,2,1
13,9,18,0.08770893327891827,player-2,min-count,min-count,23,35,22,15,player-1,player-2,0,1
13,10,18,0.08962512947618961,player-3,min-count,min-count,27,37,29,15,player-2,player-3,6,1
13,11,18,0.08100015111267567,player-4,min-count,min-count,30,41,34,16,player-3,player-4,0,1
13,12,20,0.09674998000264168,player-3,min-count,min-count,36,45,38,18,player-4,player-3,3,1
13,13,25,0.0680421944707632,player-1,min-count,min-count,38,48,40,25,player-1,player-1,0,2
13,14,21,0.062374863773584366,player-2,min-count,min-count,41,55,41,27,player-2,player-2,5,2
13,15,17,0.09437510743737221,player-3,min-count,min-count,45,59,46,32,player-3,player-3,3,2
13,16,18,0.06958399899303913,player-1,min-count,min-count,51,66,51,38,player-4,player-1,5,1
14,1,21,0.058666104450821877,player-4,min-count,min-count,4,5,3,5,player-4,player-4,3,2
14,2,19,0.08187489584088326,player-3,min-count,min-count,5,10,7,10,player-1,player-3,3,1
14,3,24,0.0815829262137413,player-1,min-count,min-count,21,11,11,10,player-2,player-1,4,12
14,4,17,0.06558303721249104,player-3,min-count,min-count,27,18,13,14,player-3,player-3,1,1
14,5,16,0.043457839637994766,none,min-count,min-count,27,21,14,16,player-4,none,5,0
14,6,29,0.11020805686712265,player-1,min-count,min-count,34,27,16,32,player-1,player-1,6,1
14,7,27,0.0849999487400055,player-4,min-count,min-count,38,28,18,32,player-2,player-4,0,0
14,8,17,0.05879206582903862,player-3,min-count,min-count,41,31,21,33,player-3,player-3,2,1
14,9,17,0.060916878283023834,player-4,min-count,min-count,43,31,25,35,player-4,player-4,1,1
14,10,17,0.06387499161064625,player-1,min-count,min-count,48,35,28,40,player-1,player-1,2,3
14,11,18,0.08329120464622974,player-3,min-count,min-count,48,37,30,45,player-2,player-3,1,1
14,12,17,0.06037508137524128,player-3,min-count,min-count,50,39,33,46,player-3,player-3,2,1
14,13,32,0.08095800876617432,player-3,min-count,min-count,51,39,37,51,player-4,player-3,3,1
14,14,21,0.08087488822638988,player-1,min-count,min-count,54,44,37,59,player-1,player-1,3,0
15,1,19,0.058959005400538445,none,min-count,min-count,1,0,4,0,player-3,none,0,0
15,2,28,0.07216702215373516,player-3,min-count,min-count,2,0,11,1,player-4,player-3,4,3
15,3,19,0.07395795546472073,player-3,min-count,min-count,3,4,14,1,player-1,player-3,1,2
15,4,17,0.06479211151599884,player-2,min-count,min-count,5,10,17,1,player-2,player-2,5,1
15,5,18,0.058542005717754364,player-4,min-count,min-count,6,15,18,16,player-3,player-4,7,8
15,6,17,0.057625118643045425,player-4,min-count,min-count,16,15,20,27,player-4,player-4,10,1
15,7,17,0.06320793181657791,player-1,min-count,min-count,25,18,20,28,player-1,player-1,3,6
15,8,19,0.06804196164011955,player-4,min-count,min-count,25,20,20,30,player-2,player-4,0,2
