game num,round num,num_turns,duration (ms),winner,player1 pts,player2 pts,player3 pts,player4 pts
1,1,18,0.08937506936490536,player-4,4,0,2,4
1,2,20,0.07266621105372906,player-3,4,7,6,5
1,3,20,0.06795907393097878,player-4,5,7,13,9
1,4,20,0.063000014051795,player-1,9,8,13,16
1,5,20,0.061540864408016205,player-2,16,12,14,16
1,6,20,0.06208312697708607,player-3,16,19,18,17
1,7,20,0.06083305925130844,player-4,17,19,25,21
1,8,20,0.060999998822808266,player-1,21,20,25,28
1,9,20,0.05866703577339649,player-2,28,24,26,28
1,10,20,0.06229197606444359,player-3,28,31,30,29
1,11,20,0.05991593934595585,player-4,29,31,37,33
1,12,20,0.060165999457240105,player-1,33,32,37,40
1,13,20,0.059750163927674294,player-2,40,36,38,40
1,14,20,0.08820788934826851,player-3,40,43,42,41
1,15,20,0.07116608321666718,player-4,41,43,49,45
1,16,20,0.06487499922513962,player-1,45,44,49,52
1,17,20,0.06245821714401245,player-2,52,48,50,52
2,1,17,0.06874999962747097,player-1,7,3,6,1
2,2,18,0.05833315663039684,player-3,7,5,14,1
2,3,18,0.05174987018108368,player-4,9,8,15,8
2,4,21,0.07583294063806534,player-4,16,8,19,14
2,5,17,0.06316695362329483,player-1,29,12,22,16
2,6,17,0.04779198206961155,player-2,30,16,24,20
2,7,17,0.05433289334177971,player-3,34,17,31,25
2,8,17,0.0669590663164854,player-4,36,20,37,27
2,9,17,0.04404108040034771,player-1,40,25,37,30
2,10,19,0.061583006754517555,player-4,40,25,42,37
2,11,19,0.05825003609061241,player-1,41,30,48,40
2,12,17,0.06254087202250957,player-4,45,34,53,54
2,13,22,0.08129212073981762,player-2,52,42,57,60
3,1,23,0.08095917291939259,player-1,3,8,9,2
3,2,17,0.05966611206531525,player-4,3,13,12,8
3,3,27,0.06545800715684891,player-3,4,22,26,11
3,4,21,0.08600018918514252,player-2,6,33,27,15
3,5,18,0.04833284765481949,player-4,7,33,28,22
3,6,18,0.06658397614955902,player-1,7,36,37,28
3,7,19,0.051250215619802475,player-3,8,38,38,28
3,8,17,0.05833315663039684,player-2,14,41,43,30
3,9,17,0.0510411337018013,player-3,19,42,45,30
3,10,17,0.06583286449313164,player-4,20,44,47,35
3,11,17,0.051625072956085205,player-1,23,45,49,37
3,12,17,0.05250005051493645,player-2,29,49,50,38
3,13,19,0.05608308129012585,player-1,30,60,52,51
4,1,18,0.05758390761911869,player-4,6,7,11,4
4,2,18,0.051541952416300774,player-1,13,10,14,6
4,3,22,0.06691692396998405,player-2,17,21,16,11
4,4,17,0.039624981582164764,player-2,19,25,19,13
4,5,17,0.05291705019772053,player-3,23,31,23,13
4,6,17,0.06516696885228157,player-4,30,31,25,13
4,7,18,0.07516704499721527,player-2,33,36,27,17
4,8,19,0.06483308970928192,player-4,36,41,32,20
4,9,17,0.07062498480081558,player-3,38,49,34,24
4,10,17,0.06487499922513962,player-4,41,50,39,28
4,11,20,0.052582938224077225,player-4,42,51,39,33
4,12,18,0.06429105997085571,player-3,47,58,51,33
4,13,19,0.05862489342689514,player-1,53,62,54,39
5,1,17,0.053582945838570595,player-3,2,1,6,2
5,2,17,0.050999922677874565,player-4,7,5,14,4
5,3,17,0.043625012040138245,player-1,10,8,14,7
5,4,17,0.06124982610344887,player-2,15,14,15,10
5,5,17,0.05558319389820099,player-3,17,19,21,10
5,6,17,0.054999953135848045,player-4,17,22,22,13
5,7,24,0.0994591973721981,player-4,25,36,28,28
5,8,17,0.04845811054110527,player-2,28,46,29,30
5,9,20,0.052541960030794144,player-2,28,50,36,32
5,10,18,0.05408306606113911,player-1,29,52,45,38
5,11,26,0.0592090655118227,none,35,56,49,40
5,12,17,0.05866587162017822,player-2,38,60,50,46
6,1,17,0.06345799192786217,player-3,4,3,2,0
6,2,17,0.04829210229218006,player-4,5,8,2,1
6,3,18,0.053541967645287514,player-2,8,12,3,3
6,4,17,0.07312488742172718,player-2,11,24,3,9
6,5,18,0.06550014950335026,player-4,13,27,9,9
6,6,24,0.05575013346970081,player-3,22,27,10,11
6,7,19,0.06333389319479465,player-3,26,27,17,22
6,8,17,0.06587500683963299,player-2,28,33,22,24
6,9,17,0.054208096116781235,player-3,32,39,28,27
6,10,17,0.05033309571444988,player-4,34,39,31,29
6,11,17,0.06279186345636845,player-1,38,41,35,29
6,12,17,0.05112495273351669,player-2,50,42,39,29
6,13,18,0.07075001485645771,player-4,57,47,45,34
7,1,17,0.045459019020199776,player-1,5,1,2,3
7,2,17,0.04366692155599594,player-2,5,6,3,5
7,3,17,0.047582900151610374,player-3,11,7,5,5
7,4,17,0.04549999721348286,player-4,13,8,11,8
7,5,17,0.052416929975152016,player-1,22,8,19,9
7,6,17,0.05495804361999035,player-2,27,13,29,13
7,7,18,0.058042118325829506,player-4,30,17,32,17
7,8,22,0.06425008177757263,player-1,30,17,36,26
7,9,17,0.061416998505592346,player-1,33,22,39,30
7,10,19,0.05375011824071407,none,35,22,43,33
7,11,17,0.06066705100238323,player-3,41,24,47,33
7,12,17,0.05625002086162567,player-4,52,31,47,36
7,13,17,0.05395803600549698,player-1,52,32,49,38
8,1,18,0.06295903585851192,player-1,13,0,3,4
8,2,17,0.06462517194449902,player-1,18,7,8,10
