game num,round num,num_turns,duration (ms),winner,player1 pts,player2 pts,player3 pts,player4 pts
1,1,17,0.09425007738173008,player-3,4,4,7,7
1,2,17,0.06529106758534908,player-4,11,8,11,14
1,3,17,0.059499870985746384,player-1,18,15,15,18
1,4,17,0.0588749535381794,player-2,22,22,22,22
1,5,17,0.05645817145705223,player-3,26,26,29,29
1,6,17,0.05787494592368603,player-4,33,30,33,36
1,7,17,0.056165968999266624,player-1,40,37,37,40
1,8,17,0.0552500132471323,player-2,44,44,44,44
1,9,17,0.05475012585520744,player-3,48,48,51,51
1,10,17,0.05445792339742184,player-4,55,52,55,58
2,1,17,0.07995800115168095,player-1,6,4,6,4
2,2,17,0.05420786328613758,player-2,11,9,8,4
2,3,17,0.057499855756759644,player-3,20,14,12,8
2,4,17,0.05391589365899563,player-4,29,16,15,10
2,5,17,0.0577080063521862,player-1,36,20,17,14
2,6,17,0.056582968682050705,player-2,48,32,17,18
2,7,19,0.0664170365780592,player-1,53,35,24,23
2,8,17,0.07158401422202587,player-4,59,35,27,26
2,9,18,0.04179216921329498,player-2,60,48,27,27
2,10,17,0.05291611887514591,player-2,65,62,30,32
2,11,17,0.03991695120930672,player-3,67,63,37,32
3,1,21,0.05779089406132698,player-3,1,2,9,0
3,2,17,0.07495889440178871,player-4,6,5,19,4
3,3,20,0.05825003609061241,player-4,6,6,23,15
3,4,18,0.06274995394051075,player-3,9,13,23,18
3,5,17,0.0491670798510313,player-3,9,16,27,19
3,6,23,0.07783295586705208,player-2,15,32,39,27
3,7,19,0.0592090655118227,player-3,24,35,47,27
3,8,17,0.06087496876716614,player-2,30,43,48,32
3,9,19,0.047250185161828995,player-1,37,48,49,32
3,10,17,0.05537504330277443,player-4,46,49,54,36
4,1,17,0.053582945838570595,player-3,8,0,8,1
4,2,17,0.053582945838570595,player-4,8,5,9,5
4,3,17,0.04729186184704304,player-1,12,9,11,15
4,4,18,0.056040938943624496,player-3,14,12,13,21
4,5,17,0.04654191434383392,player-3,14,17,22,21
4,6,17,0.05829194560647011,player-4,19,17,27,25
4,7,17,0.057999975979328156,player-1,24,20,30,27
4,8,20,0.05570892244577408,player-1,27,24,30,31
4,9,17,0.06358395330607891,player-3,35,35,34,35
4,10,17,0.047416891902685165,player-4,35,39,38,38
4,11,19,0.04645809531211853,player-3,38,41,47,41
4,12,17,0.06104097701609135,player-2,44,49,51,45
4,13,20,0.0754999928176403,player-2,49,56,51,45
5,1,17,0.05683302879333496,player-3,4,1,2,5
5,2,17,0.05970802158117294,player-4,10,9,2,16
5,3,17,0.05095801316201687,player-1,14,11,4,21
5,4,17,0.05312496796250343,player-2,16,18,6,23
5,5,19,0.05241716280579567,player-1,23,20,9,24
5,6,17,0.0538751482963562,player-4,25,20,16,28
5,7,27,0.10945787653326988,player-3,31,35,27,37
5,8,17,0.047208042815327644,player-2,35,44,30,39
5,9,20,0.047666020691394806,player-2,37,52,30,40
5,10,17,0.05795806646347046,player-4,37,52,30,50
6,1,17,0.06333412602543831,player-3,6,7,3,1
6,2,17,0.05683302879333496,player-4,12,11,6,10
6,3,19,0.050958944484591484,player-3,18,14,9,12
6,4,17,0.06395787931978703,player-2,24,30,9,16
6,5,17,0.04650000482797623,player-3,24,33,10,16
6,6,20,0.05054217763245106,player-3,28,33,15,18
6,7,18,0.04891608841717243,player-2,29,37,15,21
6,8,17,0.04341593012213707,player-2,30,40,18,25
6,9,18,0.06308313459157944,player-4,38,40,20,31
6,10,17,0.04679081030189991,player-4,38,43,25,36
6,11,17,0.059499870985746384,player-1,42,49,27,40
6,12,23,0.060125021263957024,player-4,45,52,29,41
6,13,17,0.06466684862971306,player-3,45,56,33,48
7,1,17,0.05395803600549698,player-1,7,1,2,4
7,2,17,0.0517088919878006,player-2,10,8,3,8
7,3,19,0.06145890802145004,player-1,15,13,3,18
7,4,17,0.044250162318348885,player-4,16,19,6,23
7,5,17,0.06254203617572784,player-1,19,20,12,24
7,6,19,0.05987496115267277,player-4,21,23,14,24
7,7,17,0.05908380262553692,player-3,26,23,23,26
7,8,17,0.057042110711336136,player-4,29,26,23,34
7,9,17,0.060333870351314545,player-1,40,28,27,37
7,10,17,0.05141599103808403,player-2,47,30,29,42
7,11,19,0.05600019358098507,player-1,55,35,31,47
7,12,17,0.06408407352864742,player-4,64,43,31,58
8,1,17,0.04070904105901718,player-4,2,3,1,8
8,2,17,0.06158393807709217,player-1,10,7,8,14
8,3,18,0.057916855439543724,player-3,14,15,12,17
8,4,17,0.05720788612961769,player-3,21,17,17,26
8,5,19,0.05491706542670727,player-2,25,20,19,27
8,6,17,0.05370914004743099,player-1,28,24,23,29
8,7,17,0.05308305844664574,player-2,31,27,23,29
8,8,17,0.05720905028283596,player-3,37,27,30,37
8,9,18,0.06391690112650394,player-1,39,28,39,38
8,10,17,0.05024997517466545,player-1,45,34,40,40
8,11,17,0.07499987259507179,player-2,54,42,42,42
8,12,17,0.04570791497826576,player-3,58,42,51,47
9,1,18,0.05329097621142864,player-4,4,4,3,4
9,2,17,0.050083035603165627,player-4,8,14,4,11
9,3,18,0.05308305844664574,player-2,11,16,5,15
9,4,19,0.05016615614295006,player-4,16,17,10,16
9,5,22,0.06633391603827477,player-4,27,17,10,24
9,6,23,0.08562509901821613,player-2,35,19,13,26
9,7,18,0.049042049795389175,player-2,39,24,20,26
9,8,20,0.05641719326376915,player-1,46,27,23,28
9,9,17,0.06008287891745567,player-3,55,27,27,31
9,10,17,0.05508400499820709,player-4,58,27,32,36
9,11,17,0.0552500132471323,player-1,67,28,38,40
10,1,18,0.054416945204138756,player-4,4,0,0,3
10,2,17,0.06587500683963299,player-4,5,5,1,8
10,3,19,0.0660829246044159,player-3,5,7,10,12
10,4,19,0.059999991208314896,player-4,13,10,19,21
10,5,17,0.051916809752583504,player-3,16,16,26,23
10,6,19,0.06079208105802536,player-2,19,17,29,24
10,7,19,0.06383308209478855,player-3,23,25,36,26
10,8,17,0.06849993951618671,player-2,30,30,39,30
10,9,20,0.06304099224507809,player-2,36,35,42,32
10,10,17,0.05016685463488102,player-4,42,38,42,36
10,11,20,0.06683287210762501,player-4,45,39,43,45
10,12,19,0.05679205060005188,player-4,51,43,43,56
10,13,17,0.05966704338788986,player-3,56,50,49,61
11,1,17,0.04779198206961155,player-4,1,2,2,5
11,2,17,0.05287514068186283,player-1,5,2,6,6
11,3,17,0.054416945204138756,player-2,17,10,6,6
11,4,20,0.05137501284480095,player-2,25,14,9,11
11,5,20,0.05962490104138851,player-3,25,23,10,12
11,6,17,0.06566708907485008,player-1,31,28,14,18
11,7,17,0.05545793101191521,player-2,34,35,16,21
11,8,19,0.04833308048546314,player-1,40,36,22,24
11,9,17,0.05204183980822563,player-4,42,40,26,26
11,10,17,0.05074986256659031,player-1,50,40,27,26
11,11,17,0.04483293741941452,player-2,58,45,31,28
11,12,18,0.05520787090063095,player-4,60,46,33,37
11,13,18,0.05374988541007042,player-1,62,48,39,37
12,1,17,0.08033309131860733,player-3,10,10,8,0
12,2,19,0.0642088707536459,player-2,10,18,14,9
12,3,17,0.09416695684194565,player-1,11,25,18,12
12,4,17,0.07041683420538902,player-2,14,29,24,17
12,5,17,0.04812516272068024,player-3,17,30,25,20
12,6,18,0.052625080570578575,player-1,20,35,29,24
12,7,17,0.061374856159090996,player-1,26,41,35,24
12,8,18,0.05616690032184124,player-3,29,42,42,25
12,9,18,0.08041714318096638,player-4,40,53,47,32
12,10,17,0.05445792339742184,player-4,43,59,48,38
12,11,17,0.044625019654631615,player-1,52,60,51,40
13,1,19,0.06424984894692898,player-3,5,8,7,3
13,2,17,0.043833162635564804,player-2,6,17,9,4
13,3,19,0.06387499161064625,player-1,14,21,15,10
13,4,17,0.04716706462204456,player-4,14,27,15,13
13,5,18,0.06045796908438206,player-2,17,33,19,14
13,6,17,0.07729209028184414,player-2,20,42,27,18
13,7,17,0.0665830448269844,player-3,20,42,32,18
13,8,17,0.04983297549188137,player-4,23,44,40,18
13,9,18,0.0724999699741602,player-2,42,49,55,19
13,10,17,0.06800005212426186,player-2,42,53,58,27
14,1,20,0.057625118643045425,player-3,0,2,5,3
14,2,17,0.07554213516414165,player-1,1,9,15,14
14,3,17,0.060042133554816246,player-2,4,12,17,18
14,4,17,0.060125021263957024,player-3,14,15,22,19
14,5,18,0.055167125537991524,player-1,17,15,27,20
14,6,24,0.06354204379022121,player-4,19,19,27,25
14,7,26,0.04958314821124077,none,20,19,29,27
14,8,18,0.0527501106262207,player-4,22,25,37,29
14,9,23,0.0660410150885582,player-2,23,25,50,30
14,10,19,0.05804188549518585,player-3,26,27,55,32
14,11,17,0.06108288653194904,player-2,36,29,59,35
14,12,17,0.050625065341591835,player-3,40,31,63,36
15,1,18,0.04650000482797623,player-4,4,5,4,1
15,2,17,0.058125006034970284,player-4,8,12,10,3
15,3,19,0.07341708987951279,player-3,11,18,12,5
15,4,18,0.0663751270622015,player-3,15,21,16,9
15,5,18,0.040082959458231926,player-4,16,28,17,15
15,6,20,0.07333420217037201,player-3,22,28,21,15
15,7,20,0.07533305324614048,player-4,26,33,21,21
15,8,17,0.0643748790025711,player-2,29,35,23,27
15,9,20,0.06516603752970695,player-2,36,42,25,35
15,10,17,0.0752077903598547,player-4,43,49,32,40
15,11,18,0.05641602911055088,player-2,50,52,34,48
16,1,17,0.05970802158117294,player-3,4,2,9,0
16,2,26,0.08091586641967297,player-1,14,9,16,13
16,3,18,0.0512909609824419,player-2,21,15,18,13
16,4,17,0.06229197606444359,player-2,26,19,23,15
16,5,17,0.050165923312306404,player-3,27,22,26,18
16,6,18,0.04729209467768669,player-1,27,24,27,27
16,7,18,0.049165915697813034,player-2,27,28,35,27
16,8,17,0.06570806726813316,player-2,27,35,43,27
16,9,19,0.04941713996231556,player-1,35,35,47,29
16,10,17,0.05195802077651024,player-4,39,40,53,36
16,11,17,0.05687493830919266,player-1,46,47,58,40
17,1,17,0.05920790135860443,player-2,8,5,2,2
17,2,17,0.0461251474916935,player-3,8,5,6,2
17,3,17,0.05224999040365219,player-4,9,9,6,6
17,4,17,0.07733306847512722,player-1,15,14,16,6
17,5,22,0.0512909609824419,player-3,15,17,24,8
17,6,19,0.06312481127679348,player-1,32,17,30,19
17,7,17,0.06691692396998405,player-4,40,21,30,24
17,8,17,0.05024997517466545,player-1,40,25,34,26
17,9,22,0.04937499761581421,player-3,43,26,40,28
17,10,17,0.051625072956085205,player-3,45,27,44,29
17,11,18,0.05874992348253727,player-1,51,33,50,32
18,1,23,0.08170795626938343,player-4,8,6,5,3
18,2,17,0.034624943509697914,none,9,8,15,3
18,3,17,0.0700000673532486,player-4,12,9,16,6
18,4,17,0.051999930292367935,player-1,13,9,26,8
18,5,18,0.08254102431237698,player-3,15,11,35,12
18,6,17,0.06279186345636845,player-3,18,11,42,16
18,7,17,0.0727078877389431,player-4,18,14,43,23
18,8,17,0.06400002166628838,player-1,26,17,48,24
18,9,18,0.04824995994567871,player-3,26,24,50,31
18,10,17,0.056499848142266273,player-3,27,24,53,34
18,11,17,0.0635830219835043,player-4,29,31,57,40
18,12,17,0.05570799112319946,player-1,33,34,61,47
18,13,17,0.06162491627037525,player-2,33,40,63,50
18,14,17,0.05983398295938969,player-3,33,43,70,55
19,1,17,0.06558396853506565,player-2,14,6,0,9
19,2,19,0.06720889359712601,player-1,22,13,10,19
19,3,17,0.06558280438184738,player-4,22,14,10,25
19,4,17,0.049042049795389175,player-1,24,14,15,26
19,5,17,0.05616690032184124,player-2,29,21,22,30
19,6,18,0.06337487138807774,player-4,31,31,25,38
19,7,17,0.054541975259780884,player-4,35,35,29,40
19,8,17,0.05625002086162567,player-1,41,39,31,43
19,9,19,0.04891701973974705,player-4,44,41,32,50
19,10,18,0.05624978803098202,player-4,47,48,34,54
20,1,17,0.0649159774184227,player-4,4,8,2,10
20,2,17,0.06329198367893696,player-1,8,10,4,12
20,3,17,0.06408407352864742,player-2,10,12,6,16
20,4,19,0.056042103096842766,player-1,19,18,10,16
20,5,17,0.06791693158447742,player-4,29,34,19,22
20,6,17,0.06104097701609135,player-1,32,36,26,22
20,7,17,0.05074986256659031,player-2,42,40,29,23
20,8,17,0.056625111028552055,player-3,49,43,39,24
20,9,19,0.05554105155169964,player-2,54,47,42,27
20,10,19,0.055958982557058334,player-3,58,48,54,36
21,1,17,0.06341701373457909,player-1,3,10,4,3
21,2,17,0.06629107519984245,player-2,8,16,6,5
21,3,18,0.044667162001132965,player-4,12,20,10,9
21,4,18,0.06533297710120678,player-1,12,26,12,14
21,5,18,0.06154109723865986,player-2,16,29,18,20
21,6,17,0.0616670586168766,player-2,20,43,20,23
21,7,26,0.07670791819691658,none,23,45,28,31
