game num,round num,num_turns,duration (ms),winner,player1 pts,player2 pts,player3 pts,player4 pts,started on set,went out first
1,1,18,0.11233310215175152,player-4,4,0,2,4,player-3,player-4
1,2,17,0.09012478403747082,player-4,7,1,5,6,player-4,player-4
1,3,20,0.08070794865489006,player-4,8,1,12,10,player-1,player-4
1,4,18,0.07762503810226917,player-3,10,5,14,15,player-2,player-3
1,5,20,0.07370789535343647,player-2,17,9,15,15,player-3,player-2
1,6,17,0.07654190994799137,player-4,20,10,18,17,player-4,player-4
1,7,20,0.0766250304877758,player-4,21,10,25,21,player-1,player-4
1,8,18,0.07308297790586948,player-3,23,14,27,26,player-2,player-3
1,9,20,0.07237493991851807,player-2,30,18,28,26,player-3,player-2
1,10,17,0.0754999928176403,player-4,33,19,31,28,player-4,player-4
1,11,20,0.07216678932309151,player-4,34,19,38,32,player-1,player-4
1,12,18,0.07233279757201672,player-3,36,23,40,37,player-2,player-3
1,13,20,0.06933300755918026,player-2,43,27,41,37,player-3,player-2
1,14,17,0.06895884871482849,player-4,46,28,44,39,player-4,player-4
1,15,20,0.0663751270622015,player-4,47,28,51,43,player-1,player-4
1,16,18,0.06654090248048306,player-3,49,32,53,48,player-2,player-3
2,1,17,0.07154210470616817,player-1,5,2,13,1,player-1,player-1
2,2,18,0.06308406591415405,player-3,5,4,21,1,player-2,player-3
2,3,17,0.05804095417261124,player-3,15,9,26,5,player-3,player-3
2,4,20,0.08262507617473602,player-3,17,14,29,12,player-4,player-3
2,5,17,0.055582961067557335,player-1,26,19,32,16,player-1,player-1
2,6,17,0.05362485535442829,player-2,27,23,34,20,player-2,player-2
2,7,17,0.06425008177757263,player-3,31,24,41,25,player-3,player-3
2,8,17,0.061542028561234474,player-4,37,24,42,27,player-4,player-4
2,9,18,0.053582945838570595,player-2,38,37,42,28,player-1,player-2
2,10,19,0.06983405910432339,player-4,38,37,47,35,player-2,player-4
2,11,19,0.06683403626084328,player-1,39,42,53,38,player-3,player-1
2,12,18,0.07349997758865356,player-1,48,45,57,46,player-4,player-1
3,1,17,0.07400009781122208,player-3,5,5,5,3,player-3,player-3
3,2,17,0.07620803080499172,player-4,5,10,6,9,player-4,player-4
3,3,17,0.05333288572728634,player-1,8,12,7,14,player-1,player-1
3,4,21,0.09566708467900753,player-2,10,23,8,18,player-2,player-2
3,5,19,0.06408290937542915,player-1,12,23,11,25,player-3,player-1
3,6,19,0.06683403626084328,player-2,17,30,15,35,player-4,player-2
3,7,19,0.048667192459106445,none,18,30,16,38,player-1,none
3,8,17,0.06337487138807774,player-2,24,33,21,40,player-2,player-2
3,9,19,0.07058307528495789,player-1,27,34,26,40,player-3,player-1
3,10,17,0.06466708146035671,player-4,28,37,31,42,player-4,player-4
3,11,18,0.053042080253362656,player-2,31,38,35,42,player-1,player-2
3,12,17,0.057957833632826805,player-2,37,42,36,43,player-2,player-2
3,13,17,0.06708293221890926,player-3,39,50,41,47,player-3,player-3
3,14,17,0.0677499920129776,player-4,46,57,44,58,player-4,player-4
4,1,17,0.06445799954235554,player-3,2,1,5,2,player-3,player-3
4,2,18,0.06183306686580181,player-1,4,4,9,4,player-4,player-1
4,3,17,0.05983305163681507,player-1,12,9,11,7,player-1,player-1
4,4,17,0.04695821553468704,player-2,14,13,14,9,player-2,player-2
4,5,21,0.057999975979328156,none,14,14,16,10,player-3,none
4,6,17,0.07287506014108658,player-4,17,14,18,15,player-4,player-4
4,7,19,0.08545792661607265,player-3,18,14,24,18,player-1,player-3
4,8,19,0.07575005292892456,player-4,21,19,29,21,player-2,player-4
4,9,18,0.07379194721579552,player-4,31,24,38,23,player-3,player-4
4,10,17,0.07370882667601109,player-4,33,27,40,27,player-4,player-4
4,11,21,0.06733299233019352,player-1,35,27,40,30,player-1,player-1
4,12,18,0.07704109884798527,player-3,44,34,46,33,player-2,player-3
4,13,17,0.07591699250042439,player-3,54,34,50,38,player-3,player-3
5,1,17,0.06879097782075405,player-3,3,4,5,3,player-3,player-3
5,2,17,0.06237509660422802,player-4,8,8,13,5,player-4,player-4
5,3,23,0.08245883509516716,player-3,9,10,20,8,player-1,player-3
5,4,17,0.07254211232066154,player-2,14,16,21,11,player-2,player-2
5,5,21,0.06470782682299614,player-3,18,16,25,15,player-3,player-3
5,6,17,0.06320793181657791,player-4,18,19,31,19,player-4,player-4
5,7,20,0.10291696526110172,player-4,20,25,35,28,player-1,player-4
5,8,17,0.05850009620189667,player-2,23,35,36,30,player-2,player-2
5,9,24,0.07091695442795753,player-2,25,36,38,31,player-3,player-2
5,10,17,0.0675420742481947,player-4,26,40,39,36,player-4,player-4
5,11,26,0.0738329254090786,none,32,44,43,38,player-1,none
5,12,17,0.0688750296831131,player-2,35,48,44,44,player-2,player-2
5,13,18,0.06720796227455139,player-4,36,55,45,47,player-3,player-4
6,1,17,0.07083406671881676,player-3,2,5,5,4,player-3,player-3
6,2,23,0.07941713556647301,player-2,2,8,6,6,player-4,player-2
6,3,18,0.06083305925130844,player-2,4,14,8,11,player-1,player-2
6,4,17,0.08412497118115425,player-2,7,26,8,17,player-2,player-2
6,5,20,0.06566685624420643,player-2,9,33,12,19,player-3,player-2
6,6,24,0.06908387877047062,player-3,18,33,13,21,player-4,player-3
6,7,18,0.061583006754517555,player-2,19,37,13,24,player-1,player-2
6,8,17,0.07699988782405853,player-2,21,43,18,26,player-2,player-2
6,9,18,0.06841612048447132,player-4,24,45,20,30,player-3,player-4
6,10,17,0.061584170907735825,player-4,26,45,23,32,player-4,player-4
6,11,23,0.07970910519361496,none,28,45,29,33,player-1,none
6,12,17,0.061499886214733124,player-2,40,46,33,33,player-2,player-2
6,13,18,0.07958314381539822,player-4,40,46,33,42,player-3,player-4
6,14,22,0.059540849179029465,none,43,46,33,43,player-4,none
6,15,20,0.07933308370411396,player-4,47,53,36,49,player-1,player-4
7,1,21,0.06779213435947895,player-1,8,0,0,1,player-1,player-1
