game num,round num,num_turns,duration (ms),winner,player1 pts,player2 pts,player3 pts,player4 pts,started on set,went out first
1,1,21,0.10775006376206875,player-3,2,2,3,1,player-3,player-3
1,2,19,0.059582991525530815,none,3,3,3,2,player-4,none
1,3,18,0.06433296948671341,player-2,4,10,4,3,player-1,player-2
1,4,18,0.07758405990898609,player-3,5,13,6,8,player-2,player-3
1,5,18,0.0647080596536398,player-4,6,14,7,15,player-3,player-4
1,6,19,0.054541975259780884,none,7,15,7,16,player-4,none
1,7,18,0.05920790135860443,player-2,8,22,8,17,player-1,player-2
1,8,18,0.08362508378922939,player-3,9,25,10,22,player-2,player-3
1,9,18,0.05966704338788986,player-4,10,26,11,29,player-3,player-4
1,10,19,0.05466584116220474,none,11,27,11,30,player-4,none
1,11,18,0.0552500132471323,player-2,12,34,12,31,player-1,player-2
1,12,18,0.06879190914332867,player-3,13,37,14,36,player-2,player-3
1,13,18,0.05516689270734787,player-4,14,38,15,43,player-3,player-4
1,14,19,0.05024997517466545,none,15,39,15,44,player-4,none
1,15,18,0.05429191514849663,player-2,16,46,16,45,player-1,player-2
1,16,18,0.06766710430383682,player-3,17,49,18,50,player-2,player-3
1,17,18,0.0588330440223217,player-4,18,50,19,57,player-3,player-4
2,1,17,0.07141707465052605,player-1,5,3,6,1,player-1,player-1
2,2,18,0.1040829811245203,player-3,5,5,13,2,player-2,player-3
2,3,17,0.06795907393097878,player-3,14,10,17,6,player-3,player-3
2,4,17,0.06795814260840416,player-4,16,10,17,12,player-4,player-4
2,5,22,0.05433405749499798,none,18,11,17,15,player-1,none
2,6,18,0.0563750509172678,player-3,19,15,20,15,player-2,player-3
2,7,19,0.07229112088680267,player-1,29,15,27,17,player-3,player-1
2,8,17,0.06116693839430809,player-4,30,16,33,19,player-4,player-4
2,9,17,0.05666702054440975,player-1,38,19,33,22,player-1,player-1
2,10,17,0.05387491546571255,player-2,38,24,35,24,player-2,player-2
2,11,17,0.056625111028552055,player-3,39,26,44,27,player-3,player-3
2,12,17,0.06645801477134228,player-4,42,31,45,36,player-4,player-4
2,13,18,0.06845803000032902,player-2,51,39,49,38,player-1,player-2
3,1,18,0.060416990891098976,player-4,3,3,0,3,player-3,player-4
3,2,17,0.07191603071987629,player-4,5,11,1,12,player-4,player-4
3,3,18,0.05950010381639004,player-2,5,14,3,15,player-1,player-2
3,4,17,0.07349997758865356,player-2,5,24,4,19,player-2,player-2
3,5,17,0.053040916100144386,player-3,9,26,10,21,player-3,player-3
3,6,18,0.0635830219835043,player-1,11,27,10,29,player-4,player-1
3,7,17,0.06329221650958061,player-1,14,33,11,36,player-1,player-1
3,8,17,0.0719169620424509,player-2,24,35,14,36,player-2,player-2
3,9,17,0.04933308809995651,player-3,27,36,18,38,player-3,player-3
3,10,17,0.0577499158680439,player-4,28,36,25,41,player-4,player-4
3,11,17,0.05929218605160713,player-1,33,36,26,42,player-1,player-1
3,12,18,0.06287498399615288,player-3,38,41,29,46,player-2,player-3
3,13,17,0.06820796988904476,player-3,42,45,36,48,player-3,player-3
3,14,21,0.08041714318096638,player-4,44,53,36,51,player-4,player-4
4,1,17,0.06129196844995022,player-3,2,0,10,3,player-3,player-3
4,2,29,0.09204191155731678,player-4,3,1,14,8,player-4,player-4
4,3,18,0.06550014950335026,player-2,10,6,15,8,player-1,player-2
4,4,20,0.060165999457240105,player-1,15,7,18,11,player-2,player-1
4,5,20,0.06712507456541061,player-2,17,9,24,16,player-3,player-2
4,6,17,0.06087520159780979,player-4,18,11,26,18,player-4,player-4
4,7,18,0.0666249543428421,player-2,18,17,26,22,player-1,player-2
4,8,17,0.06237509660422802,player-2,21,23,27,24,player-2,player-2
4,9,18,0.07637497037649155,player-4,23,28,36,25,player-3,player-4
4,10,17,0.0688750296831131,player-4,25,31,38,28,player-4,player-4
4,11,21,0.0616670586168766,player-1,27,31,38,31,player-1,player-1
4,12,17,0.06362493149936199,player-2,29,36,38,34,player-2,player-2
4,13,18,0.07870816625654697,player-4,31,41,41,38,player-3,player-4
4,14,18,0.06070802919566631,player-1,36,44,41,41,player-4,player-1
