game num,round num,num_turns,duration (ms),winner,player1 pts,player2 pts,player3 pts,player4 pts,started on set,went out first
1,1,17,0.10816683061420918,player-3,4,4,7,7,player-3,player-3
1,2,19,0.091583002358675,player-2,5,5,11,8,player-4,player-2
1,3,17,0.07433397695422173,player-1,12,12,15,12,player-1,player-1
1,4,20,0.09033316746354103,player-1,16,14,16,19,player-2,player-1
1,5,17,0.07287506014108658,player-3,20,18,23,26,player-3,player-3
1,6,19,0.07825018838047981,player-2,21,19,27,27,player-4,player-2
1,7,17,0.07033394649624825,player-1,28,26,31,31,player-1,player-1
1,8,20,0.08645816706120968,player-1,32,28,32,38,player-2,player-1
1,9,17,0.06937514990568161,player-3,36,32,39,45,player-3,player-3
1,10,19,0.07491698488593102,player-2,37,33,43,46,player-4,player-2
1,11,17,0.06729201413691044,player-1,44,40,47,50,player-1,player-1
1,12,20,0.08458294905722141,player-1,48,42,48,57,player-2,player-1
1,13,17,0.06679189391434193,player-3,52,46,55,64,player-3,player-3
2,1,17,0.07849978283047676,player-1,6,5,7,1,player-1,player-1
2,2,17,0.07829186506569386,player-2,9,9,12,1,player-2,player-2
2,3,17,0.06462493911385536,player-3,18,14,16,5,player-3,player-3
2,4,17,0.07750000804662704,player-4,22,14,26,11,player-4,player-4
2,5,17,0.061166007071733475,player-1,30,18,28,15,player-1,player-1
2,6,20,0.07066596299409866,player-1,35,24,32,19,player-2,player-1
2,7,23,0.08104112930595875,player-1,45,25,38,24,player-3,player-1
2,8,18,0.07058284245431423,player-1,51,26,40,24,player-4,player-1
2,9,18,0.05729100666940212,player-2,52,39,40,25,player-1,player-2
2,10,17,0.07420801557600498,player-2,56,44,47,28,player-2,player-2
3,1,19,0.06512482650578022,player-1,6,3,0,1,player-3,player-1
3,2,17,0.07995800115168095,player-4,6,8,1,7,player-4,player-4
3,3,20,0.07154187187552452,player-4,8,11,1,16,player-1,player-4
3,4,17,0.07904181256890297,player-2,8,21,2,20,player-2,player-2
3,5,17,0.06104190833866596,player-3,10,21,5,23,player-3,player-3
3,6,18,0.07341685704886913,player-1,12,22,5,33,player-4,player-1
3,7,19,0.05295802839100361,none,13,22,6,36,player-1,none
3,8,17,0.073291826993227,player-2,15,26,7,40,player-2,player-2
3,9,19,0.06150011904537678,player-1,22,31,8,40,player-3,player-1
3,10,17,0.06833299994468689,player-4,31,32,13,47,player-4,player-4
3,11,30,0.09008287452161312,player-2,33,35,15,47,player-1,player-2
3,12,19,0.07204082794487476,player-4,35,42,16,53,player-2,player-4
3,13,17,0.07312512025237083,player-3,38,50,21,55,player-3,player-3
4,1,17,0.06737490184605122,player-3,5,2,8,1,player-3,player-3
4,2,18,0.06816699169576168,player-1,7,5,13,3,player-4,player-1
4,3,17,0.07149996235966682,player-1,13,7,20,4,player-1,player-1
4,4,17,0.05058315582573414,player-2,15,11,23,6,player-2,player-2
4,5,20,0.06304099224507809,player-2,17,14,26,7,player-3,player-2
4,6,17,0.07295818068087101,player-4,21,14,31,9,player-4,player-4
4,7,18,0.0724999699741602,player-2,21,20,31,13,player-1,player-2
4,8,17,0.06645801477134228,player-2,24,26,32,15,player-2,player-2
4,9,17,0.07616705261170864,player-3,34,37,37,16,player-3,player-3
4,10,17,0.07295887917280197,player-4,34,38,42,20,player-4,player-4
4,11,21,0.06566685624420643,player-1,38,42,44,26,player-1,player-1
4,12,17,0.07483409717679024,player-2,44,50,48,30,player-2,player-2
4,13,18,0.06779213435947895,player-4,46,50,48,37,player-3,player-4
4,14,18,0.08099991828203201,player-1,59,58,60,47,player-4,player-1
5,1,21,0.09012501686811447,player-3,5,0,9,0,player-3,player-3
5,2,18,0.0955839641392231,player-1,13,0,12,2,player-4,player-1
5,3,17,0.07208390161395073,player-1,17,2,14,7,player-1,player-1
5,4,17,0.07866602391004562,player-2,19,12,15,10,player-2,player-2
5,5,18,0.07045804522931576,player-4,25,16,24,15,player-3,player-4
5,6,17,0.06612483412027359,player-4,25,19,27,19,player-4,player-4
5,7,20,0.10591605678200722,player-4,32,25,39,26,player-1,player-4
5,8,17,0.06104190833866596,player-2,35,36,40,28,player-2,player-2
5,9,19,0.06362493149936199,player-1,44,42,40,31,player-3,player-1
5,10,17,0.07479102350771427,player-4,46,44,48,37,player-4,player-4
5,11,31,0.09774998761713505,player-3,52,50,52,39,player-1,player-3
6,1,17,0.11350004933774471,player-3,6,4,4,4,player-3,player-3
6,2,17,0.2874999772757292,player-4,6,5,7,10,player-4,player-4
6,3,18,0.08874991908669472,player-2,10,6,7,12,player-1,player-2
6,4,17,0.09062513709068298,player-2,13,18,7,18,player-2,player-2
6,5,17,0.05925004370510578,player-3,13,22,12,18,player-3,player-3
6,6,20,0.3896250855177641,player-3,17,24,17,23,player-4,player-3
6,7,18,0.07025012746453285,player-2,18,28,17,26,player-1,player-2
6,8,17,0.09145797230303288,player-2,19,31,20,30,player-2,player-2
6,9,18,0.12883287854492664,player-4,23,31,22,32,player-3,player-4
6,10,17,0.06545800715684891,player-4,23,34,27,35,player-4,player-4
6,11,17,0.07583317346870899,player-1,28,34,29,44,player-1,player-1
6,12,17,0.26237498968839645,player-2,32,35,40,44,player-2,player-2
6,13,18,0.08750008419156075,player-4,32,35,43,52,player-3,player-4
6,14,18,0.06895815022289753,player-1,38,40,46,58,player-4,player-1
6,15,17,0.06404193118214607,player-1,46,46,51,60,player-1,player-1
7,1,18,0.07545901462435722,player-2,8,1,2,1,player-1,player-2
7,2,17,0.059165991842746735,player-2,8,6,3,3,player-2,player-2
7,3,17,0.06954185664653778,player-3,12,8,5,8,player-3,player-3
7,4,17,0.056833960115909576,player-4,13,12,5,21,player-4,player-4
7,5,17,0.06758305244147778,player-1,24,13,14,25,player-1,player-1
7,6,17,0.07504201494157314,player-2,26,21,19,25,player-2,player-2
7,7,17,0.06975000724196434,player-3,28,25,24,27,player-3,player-3
7,8,18,0.08224998600780964,player-1,38,28,24,34,player-4,player-1
7,9,17,0.08520809933543205,player-1,42,33,24,37,player-1,player-1
7,10,17,0.06374996155500412,player-2,49,35,26,42,player-2,player-2
7,11,18,0.07208297029137611,player-4,51,35,29,49,player-3,player-4
7,12,17,0.07241708226501942,player-4,58,42,29,54,player-4,player-4
7,13,17,0.05679205060005188,player-1,61,44,30,57,player-1,player-1
8,1,17,0.06104190833866596,player-4,2,1,1,2,player-4,player-4
8,2,17,0.08095800876617432,player-1,8,3,6,10,player-1,player-1
8,3,20,0.0801661517471075,player-1,9,7,14,12,player-2,player-1
8,4,18,0.07520802319049835,player-4,16,12,18,23,player-3,player-4
8,5,17,0.07520895451307297,player-4,22,16,30,27,player-4,player-4
8,6,21,0.07758289575576782,player-1,30,18,30,31,player-1,player-1
8,7,17,0.07320800796151161,player-2,32,20,33,35,player-2,player-2
8,8,20,0.0819170381873846,player-2,38,25,36,35,player-3,player-2
8,9,17,0.0646661501377821,player-4,41,27,41,40,player-4,player-4
8,10,17,0.053625088185071945,player-1,47,29,43,43,player-1,player-1
8,11,17,0.08154194802045822,player-2,56,38,45,45,player-2,player-2
9,1,19,0.07133395411074162,player-1,8,8,1,0,player-3,player-1
9,2,26,0.08237501606345177,player-1,12,18,1,2,player-4,player-1
9,3,18,0.06645917892456055,player-2,15,24,1,6,player-1,player-2
9,4,18,0.06620911881327629,player-3,20,31,5,13,player-2,player-3
9,5,17,0.05266699008643627,player-3,26,31,7,16,player-3,player-3
9,6,17,0.06787502206861973,player-4,32,32,9,19,player-4,player-4
9,7,19,0.06620888598263264,player-3,34,37,17,19,player-1,player-3
9,8,22,0.08145812898874283,player-3,39,45,26,23,player-2,player-3
9,9,17,0.06829085759818554,player-3,48,45,30,26,player-3,player-3
9,10,20,0.07029203698039055,player-3,49,47,32,28,player-4,player-3
9,11,23,0.07283291779458523,player-3,50,54,34,30,player-1,player-3
9,12,18,0.07491698488593102,player-3,58,59,39,33,player-2,player-3
9,13,17,0.06695813499391079,player-3,58,71,45,39,player-3,player-3
10,1,18,0.05320785567164421,player-4,2,0,0,5,player-3,player-4
10,2,17,0.06879190914332867,player-4,3,4,3,10,player-4,player-4
10,3,19,0.07554097101092339,player-3,3,6,12,14,player-1,player-3
10,4,18,0.07258402183651924,player-3,4,14,16,17,player-2,player-3
10,5,17,0.06625009700655937,player-3,7,20,23,18,player-3,player-3
10,6,17,0.058542005717754364,player-4,8,21,25,19,player-4,player-4
10,7,20,0.06783287972211838,player-4,10,26,27,27,player-1,player-4
10,8,23,0.08233310654759407,player-4,14,33,30,27,player-2,player-4
10,9,20,0.07170788012444973,player-2,25,35,33,27,player-3,player-2
10,10,17,0.05287514068186283,player-4,29,35,33,31,player-4,player-4
10,11,20,0.06766710430383682,player-4,34,35,37,36,player-1,player-4
10,12,19,0.06729108281433582,player-4,36,39,39,41,player-2,player-4
10,13,18,0.07929210551083088,player-4,37,40,45,43,player-3,player-4
10,14,17,0.061583006754517555,player-4,39,40,45,53,player-4,player-4
10,15,18,0.07424992509186268,player-2,43,42,48,55,player-1,player-2
10,16,17,0.06595905870199203,player-2,49,53,48,57,player-2,player-2
11,1,19,0.06612506695091724,player-2,2,0,1,2,player-4,player-2
11,2,18,0.06629200652241707,player-2,6,3,6,7,player-1,player-2
11,3,17,0.06695790216326714,player-2,9,7,14,7,player-2,player-2
11,4,17,0.052625080570578575,player-3,14,7,24,7,player-3,player-3
11,5,17,0.060542020946741104,player-4,15,11,28,12,player-4,player-4
11,6,18,0.06991694681346416,player-2,19,16,29,12,player-1,player-2
11,7,17,0.062125036492943764,player-2,25,24,33,14,player-2,player-2
11,8,19,0.058582983911037445,player-1,31,25,39,17,player-3,player-1
11,9,18,0.07112487219274044,player-1,34,27,45,19,player-4,player-1
11,10,19,0.06312504410743713,player-3,36,30,50,23,player-1,player-3
11,11,18,0.06229197606444359,player-3,39,34,51,25,player-2,player-3
11,12,19,0.06541702896356583,player-1,40,39,58,34,player-3,player-1
11,13,18,0.0616670586168766,player-1,42,39,58,37,player-4,player-1
12,1,17,0.077791977673769,player-3,0,1,7,3,player-3,player-3
12,2,21,0.06562494672834873,player-4,10,7,13,8,player-4,player-4
12,3,17,0.06841588765382767,player-1,21,9,13,8,player-1,player-1
12,4,17,0.07079099304974079,player-2,24,17,15,17,player-2,player-2
12,5,23,0.09779189713299274,player-1,30,23,18,26,player-3,player-1
12,6,18,0.0602498184889555,player-1,33,28,22,30,player-4,player-1
12,7,17,0.06712507456541061,player-1,38,33,28,30,player-1,player-1
12,8,21,0.06824987940490246,player-2,41,36,29,33,player-2,player-2
12,9,17,0.07645809091627598,player-3,45,39,37,33,player-3,player-3
12,10,17,0.057625118643045425,player-4,48,43,39,39,player-4,player-4
12,11,17,0.048958929255604744,player-1,55,45,43,39,player-1,player-1
12,12,20,0.06612506695091724,player-1,61,47,46,43,player-2,player-1
13,1,19,0.08287490345537663,player-3,4,7,7,3,player-1,player-3
13,2,17,0.10120798833668232,player-2,5,13,7,6,player-2,player-2
13,3,23,0.08599995635449886,player-1,12,17,13,11,player-3,player-1
13,4,17,0.05370797589421272,player-4,12,18,13,18,player-4,player-4
