game num,round num,num_turns,duration (ms),winner,player1 pts,player2 pts,player3 pts,player4 pts,started on set,went out first
1,1,17,0.1022089272737503,player-3,1,3,2,3,player-3,player-3
1,2,20,0.07195910438895226,player-3,1,10,6,4,player-4,player-3
1,3,17,0.06858399137854576,player-1,5,13,7,7,player-1,player-1
1,4,20,0.06545800715684891,player-1,9,14,7,14,player-2,player-1
1,5,17,0.06912508979439735,player-3,10,17,11,17,player-3,player-3
1,6,20,0.06379210390150547,player-3,10,24,15,18,player-4,player-3
1,7,17,0.06616604514420033,player-1,14,27,16,21,player-1,player-1
1,8,20,0.06283307448029518,player-1,18,28,16,28,player-2,player-1
1,9,17,0.06449990905821323,player-3,19,31,20,31,player-3,player-3
1,10,20,0.05779205821454525,player-3,19,38,24,32,player-4,player-3
1,11,17,0.06074993871152401,player-1,23,41,25,35,player-1,player-1
1,12,20,0.0575000885874033,player-1,27,42,25,42,player-2,player-1
1,13,17,0.059999991208314896,player-3,28,45,29,45,player-3,player-3
1,14,20,0.06858306005597115,player-3,28,52,33,46,player-4,player-3
1,15,17,0.06424984894692898,player-1,32,55,34,49,player-1,player-1
2,1,17,0.09312503971159458,player-1,6,3,5,1,player-1,player-1
2,2,18,0.09650015272200108,player-3,6,5,12,2,player-2,player-3
2,3,18,0.06541702896356583,player-4,9,10,13,2,player-3,player-4
2,4,17,0.06562494672834873,player-4,11,10,13,6,player-4,player-4
2,5,18,0.06187497638165951,player-2,13,14,16,6,player-1,player-2
2,6,18,0.052042072638869286,player-3,14,18,19,6,player-2,player-3
2,7,23,0.0724999699741602,none,18,18,26,13,player-3,none
2,8,17,0.05691614933311939,player-4,19,19,32,15,player-4,player-4
2,9,17,0.049416907131671906,player-1,25,22,32,16,player-1,player-1
2,10,17,0.04791608080267906,player-2,25,27,34,18,player-2,player-2
2,11,19,0.06462493911385536,player-1,34,32,42,21,player-3,player-1
2,12,17,0.07641594856977463,player-4,35,35,45,28,player-4,player-4
2,13,27,0.06395811215043068,none,37,39,46,32,player-1,none
2,14,19,0.07204222492873669,player-4,39,54,51,43,player-2,player-4
2,15,25,0.06820796988904476,player-3,41,54,58,44,player-3,player-3
2,16,19,0.06025005131959915,player-2,41,56,67,48,player-4,player-2
3,1,22,0.060625141486525536,player-4,3,2,6,3,player-3,player-4
3,2,17,0.05966704338788986,player-4,3,7,9,9,player-4,player-4
3,3,20,0.06341608241200447,player-4,3,8,16,17,player-1,player-4
3,4,17,0.06824987940490246,player-2,3,18,17,21,player-2,player-2
3,5,21,0.052167102694511414,player-3,4,20,19,23,player-3,player-3
3,6,19,0.0675420742481947,player-2,4,23,28,29,player-4,player-2
3,7,19,0.06783404387533665,player-3,5,30,30,34,player-1,player-3
3,8,17,0.0679579097777605,player-2,15,32,33,34,player-2,player-2
3,9,17,0.04545808769762516,player-3,18,34,37,37,player-3,player-3
3,10,17,0.06537488661706448,player-4,19,36,38,42,player-4,player-4
3,11,18,0.04324992187321186,player-2,21,46,38,46,player-1,player-2
3,12,18,0.05474989302456379,player-3,26,51,41,50,player-2,player-3
4,1,17,0.05316687747836113,player-3,2,3,7,3,player-3,player-3
4,2,29,0.07700012065470219,player-4,3,4,12,9,player-4,player-4
4,3,21,0.06512505933642387,player-1,16,8,12,19,player-1,player-1
4,4,19,0.04620780237019062,player-4,18,9,15,21,player-2,player-4
4,5,17,0.048582907766103745,player-3,22,16,19,21,player-3,player-3
4,6,17,0.04487484693527222,player-4,25,17,21,22,player-4,player-4
4,7,18,0.06145797669887543,player-2,28,24,21,26,player-1,player-2
4,8,17,0.05475012585520744,player-2,31,30,22,28,player-2,player-2
4,9,18,0.0675420742481947,player-4,33,35,31,29,player-3,player-4
4,10,17,0.06274995394051075,player-4,33,38,38,40,player-4,player-4
4,11,20,0.04329206421971321,none,35,41,40,44,player-1,none
4,12,17,0.05566701292991638,player-2,37,46,40,47,player-2,player-2
4,13,18,0.06508408114314079,player-4,43,46,43,54,player-3,player-4
5,1,17,0.05545816384255886,player-3,8,4,4,0,player-3,player-3
5,2,17,0.061540864408016205,player-4,11,9,10,8,player-4,player-4
5,3,17,0.04712492227554321,player-1,12,12,10,11,player-1,player-1
5,4,21,0.06512505933642387,player-2,16,16,18,18,player-2,player-2
5,5,28,0.05712499842047691,none,16,23,23,20,player-3,none
5,6,18,0.055541982874274254,player-1,20,24,26,24,player-4,player-1
5,7,20,0.07941690273582935,player-4,25,32,37,43,player-1,player-4
5,8,17,0.07062498480081558,player-2,28,43,38,45,player-2,player-2
5,9,18,0.05283299833536148,player-4,31,45,41,51,player-3,player-4
5,10,17,0.06483308970928192,player-4,32,48,43,63,player-4,player-4
6,1,18,0.08729216642677784,player-4,3,8,4,6,player-3,player-4
6,2,18,0.0641250517219305,player-1,7,10,8,10,player-4,player-1
6,3,17,0.06616604514420033,player-1,11,10,9,17,player-1,player-1
6,4,17,0.060416990891098976,player-2,11,20,9,20,player-2,player-2
6,5,17,0.05012517794966698,player-3,19,26,16,22,player-3,player-3
6,6,21,0.05904119461774826,player-4,22,26,17,25,player-4,player-4
6,7,17,0.05425000563263893,player-1,27,26,20,27,player-1,player-1
6,8,17,0.061499886214733124,player-2,29,30,26,31,player-2,player-2
6,9,19,0.06054108962416649,player-1,35,30,29,32,player-3,player-1
6,10,20,0.06312504410743713,player-3,38,34,36,34,player-4,player-3
6,11,18,0.062125036492943764,player-2,39,43,36,39,player-1,player-2
6,12,17,0.05570799112319946,player-2,43,46,38,39,player-2,player-2
6,13,18,0.06258301436901093,player-4,43,48,40,47,player-3,player-4
6,14,17,0.049582915380597115,player-4,43,48,43,55,player-4,player-4
7,1,17,0.0577080063521862,player-1,4,3,2,1,player-1,player-1
7,2,17,0.05708308890461922,player-2,8,9,5,1,player-2,player-2
7,3,17,0.04591606557369232,player-3,10,13,5,3,player-3,player-3
7,4,17,0.04800013266503811,player-4,14,16,8,8,player-4,player-4
7,5,17,0.04975008778274059,player-1,17,18,13,8,player-1,player-1
7,6,17,0.04695798270404339,player-2,19,20,16,8,player-2,player-2
7,7,17,0.06120791658759117,player-3,20,23,19,8,player-3,player-3
7,8,17,0.06174994632601738,player-4,20,30,19,14,player-4,player-4
7,9,17,0.07212487980723381,player-1,32,32,22,20,player-1,player-1
7,10,17,0.05245814099907875,player-2,37,33,23,22,player-2,player-2
7,11,19,0.07354188710451126,player-1,44,33,28,25,player-3,player-1
7,12,17,0.060125021263957024,player-4,52,43,30,29,player-4,player-4
7,13,17,0.0488748773932457,player-1,54,43,34,29,player-1,player-1
7,14,18,0.06174994632601738,player-3,57,45,38,29,player-2,player-3
7,15,18,0.057625118643045425,player-4,58,47,40,34,player-3,player-4
7,16,17,0.07762503810226917,player-4,58,52,42,38,player-4,player-4
8,1,18,0.050958944484591484,player-1,2,1,1,1,player-4,player-1
8,2,17,0.06587500683963299,player-1,7,8,6,7,player-1,player-1
8,3,17,0.057374825701117516,player-2,15,19,10,10,player-2,player-2
8,4,17,0.049666035920381546,player-3,17,21,15,14,player-3,player-3
8,5,17,0.052582938224077225,player-4,21,24,18,17,player-4,player-4
8,6,25,0.08062506094574928,player-1,27,31,22,18,player-1,player-1
8,7,18,0.058999983593821526,player-3,28,32,24,20,player-2,player-3
8,8,17,0.05645793862640858,player-3,30,32,33,27,player-3,player-3
8,9,17,0.057582976296544075,player-4,33,35,34,28,player-4,player-4
8,10,17,0.05950010381639004,player-1,33,41,34,37,player-1,player-1
8,11,17,0.07783295586705208,player-2,37,46,38,41,player-2,player-2
8,12,17,0.04987511783838272,player-3,37,46,42,45,player-3,player-3
8,13,18,0.055916840210556984,player-1,38,50,45,56,player-4,player-1
9,1,17,0.06600003689527512,player-3,1,1,4,4,player-3,player-3
9,2,17,0.053958967328071594,player-4,2,4,7,8,player-4,player-4
9,3,17,0.05350005812942982,player-1,6,13,7,11,player-1,player-1
9,4,19,0.06204098463058472,player-4,11,20,11,19,player-2,player-4
9,5,17,0.04650000482797623,player-3,15,21,20,21,player-3,player-3
9,6,17,0.06312504410743713,player-4,20,22,24,22,player-4,player-4
9,7,23,0.06487499922513962,player-3,28,27,32,23,player-1,player-3
9,8,19,0.048083020374178886,player-4,32,28,35,23,player-2,player-4
9,9,23,0.0849999487400055,player-1,41,28,43,26,player-3,player-1
9,10,17,0.04479195922613144,player-4,42,28,44,28,player-4,player-4
9,11,18,0.06079208105802536,player-2,44,37,46,28,player-1,player-2
9,12,18,0.07283315062522888,player-3,51,38,49,29,player-2,player-3
10,1,21,0.05612499080598354,player-3,2,2,2,0,player-3,player-3
10,2,17,0.06270897574722767,player-4,5,3,4,6,player-4,player-4
10,3,18,0.05112495273351669,player-2,12,4,6,8,player-1,player-2
10,4,20,0.06545800715684891,player-1,18,7,12,13,player-2,player-1
10,5,17,0.04333304241299629,player-3,18,9,23,13,player-3,player-3
10,6,17,0.05545793101191521,player-4,21,14,24,22,player-4,player-4
10,7,19,0.05491613410413265,player-3,25,16,32,22,player-1,player-3
10,8,19,0.056582968682050705,player-4,28,21,32,22,player-2,player-4
10,9,27,0.05187490023672581,none,34,21,33,22,player-3,none
10,10,17,0.042625004425644875,player-4,41,21,33,27,player-4,player-4
10,11,17,0.06708316504955292,player-1,49,26,42,30,player-1,player-1
10,12,19,0.0577080063521862,player-4,51,28,44,36,player-2,player-4
10,13,17,0.06554112769663334,player-3,53,33,51,38,player-3,player-3
11,1,17,0.06629177369177341,player-4,1,3,2,3,player-4,player-4
11,2,23,0.06495811976492405,player-3,5,3,6,4,player-1,player-3
11,3,17,0.05937507376074791,player-2,9,9,10,7,player-2,player-2
11,4,20,0.05450006574392319,player-2,17,13,13,12,player-3,player-2
11,5,20,0.06870785728096962,player-3,19,20,22,19,player-4,player-3
11,6,18,0.06204098463058472,player-2,22,20,24,21,player-1,player-2
11,7,21,0.06108405068516731,player-2,29,23,30,23,player-2,player-2
11,8,19,0.059542013332247734,player-1,33,25,33,26,player-3,player-1
11,9,17,0.05212496034801006,player-4,34,30,35,28,player-4,player-4
11,10,20,0.05312496796250343,player-4,40,31,36,32,player-1,player-4
11,11,17,0.05291611887514591,player-2,44,33,41,35,player-2,player-2
11,12,18,0.0524579081684351,player-4,44,33,42,36,player-3,player-4
11,13,19,0.0474581029266119,player-2,49,40,43,38,player-4,player-2
11,14,24,0.050582922995090485,none,51,40,49,38,player-1,none
12,1,17,0.06045890040695667,player-3,6,9,7,0,player-3,player-3
12,2,20,0.05170796066522598,player-3,13,17,13,4,player-4,player-3
12,3,19,0.07650000043213367,player-3,13,27,27,5,player-1,player-3
12,4,17,0.06558303721249104,player-2,17,31,34,5,player-2,player-2
12,5,18,0.045584049075841904,player-4,19,31,35,10,player-3,player-4
12,6,22,0.07329205982387066,player-1,24,34,42,13,player-4,player-1
12,7,17,0.05308282561600208,player-1,27,38,44,13,player-1,player-1
12,8,21,0.0925001222640276,player-2,31,43,46,16,player-2,player-2
12,9,17,0.06841588765382767,player-3,36,47,54,16,player-3,player-3
12,10,17,0.05675014108419418,player-4,39,53,57,22,player-4,player-4
12,11,17,0.05687517113983631,player-1,46,56,61,26,player-1,player-1
13,1,19,0.06800005212426186,player-3,5,8,9,6,player-1,player-3
13,2,17,0.04700012505054474,player-2,7,12,10,6,player-2,player-2
13,3,22,0.0663751270622015,player-4,9,16,12,9,player-3,player-4
13,4,18,0.06679212674498558,player-1,14,19,15,12,player-4,player-1
13,5,18,0.05762488581240177,player-2,19,25,17,12,player-1,player-2
13,6,17,0.06512505933642387,player-2,22,32,18,12,player-2,player-2
13,7,17,0.06879214197397232,player-3,28,36,25,14,player-3,player-3
13,8,20,0.07016700692474842,player-3,32,38,34,18,player-4,player-3
13,9,18,0.07333303801715374,player-2,36,48,36,21,player-1,player-2
13,10,18,0.0730839092284441,player-3,36,52,41,27,player-2,player-3
13,11,17,0.04691700451076031,player-3,36,53,52,29,player-3,player-3
