game num,round num,num_turns,duration (ms),winner,player1 pts,player2 pts,player3 pts,player4 pts,started on set,went out first
1,1,18,0.09133294224739075,player-4,7,4,4,1,player-3,player-4
1,2,20,0.06883288733661175,player-3,7,11,8,2,player-4,player-3
1,3,19,0.0616670586168766,player-3,8,12,15,10,player-1,player-3
1,4,20,0.060999998822808266,player-1,12,13,15,17,player-2,player-1
1,5,19,0.05270796827971935,player-1,19,21,16,18,player-3,player-1
1,6,20,0.05945796146988869,player-3,19,28,20,19,player-4,player-3
1,7,19,0.052833929657936096,player-3,20,29,27,27,player-1,player-3
1,8,20,0.05791708827018738,player-1,24,30,27,34,player-2,player-1
1,9,19,0.05170796066522598,player-1,31,38,28,35,player-3,player-1
1,10,20,0.05729193799197674,player-3,31,45,32,36,player-4,player-3
1,11,19,0.05108281038701534,player-3,32,46,39,44,player-1,player-3
1,12,20,0.062499893829226494,player-1,36,47,39,51,player-2,player-1
1,13,19,0.053167110309004784,player-1,43,55,40,52,player-3,player-1
2,1,17,0.06745895370841026,player-1,2,3,6,1,player-1,player-1
2,2,17,0.06587500683963299,player-2,5,7,11,1,player-2,player-2
2,3,17,0.0485831405967474,player-3,8,12,14,1,player-3,player-3
2,4,17,0.06500002928078175,player-4,12,12,24,7,player-4,player-4
2,5,17,0.06395811215043068,player-1,17,13,29,9,player-1,player-1
2,6,20,0.05783303640782833,player-1,22,19,33,13,player-2,player-1
2,7,23,0.06616604514420033,player-1,32,20,39,18,player-3,player-1
2,8,18,0.06929179653525352,player-1,36,20,40,18,player-4,player-1
2,9,17,0.042584026232361794,player-1,40,25,40,21,player-1,player-1
2,10,17,0.06120791658759117,player-2,44,30,47,24,player-2,player-2
2,11,17,0.04574982449412346,player-3,48,30,51,25,player-3,player-3
2,12,17,0.06474996916949749,player-4,52,34,56,39,player-4,player-4
3,1,20,0.061542028561234474,player-2,1,4,3,0,player-3,player-2
3,2,17,0.06470899097621441,player-4,1,7,10,8,player-4,player-4
3,3,19,0.06354204379022121,player-3,1,8,17,15,player-1,player-3
3,4,17,0.06975000724196434,player-2,1,18,18,19,player-2,player-2
3,5,17,0.05504116415977478,player-3,3,18,21,24,player-3,player-3
3,6,20,0.07166690193116665,player-3,3,21,30,30,player-4,player-3
3,7,18,0.055999960750341415,player-2,4,22,38,34,player-1,player-2
