game num,round num,num_turns,duration (ms),winner,player1 pts,player2 pts,player3 pts,player4 pts,started on set,went out first
1,1,17,0.09795790538191795,player-3,4,4,7,7,player-3,player-3
1,2,19,0.07754191756248474,player-2,9,12,11,11,player-4,player-2
1,3,17,0.06295903585851192,player-1,16,19,15,15,player-1,player-1
1,4,19,0.06199977360665798,player-4,20,23,20,23,player-2,player-4
1,5,17,0.06074993871152401,player-3,24,27,27,30,player-3,player-3
1,6,19,0.0624160747975111,player-2,29,35,31,34,player-4,player-2
1,7,17,0.0577499158680439,player-1,36,42,35,38,player-1,player-1
1,8,19,0.11737504974007607,player-4,40,46,40,46,player-2,player-4
1,9,17,0.06633298471570015,player-3,44,50,47,53,player-3,player-3
2,1,17,0.06758281961083412,player-1,6,5,7,1,player-1,player-1
2,2,19,0.06120791658759117,player-4,6,12,12,4,player-2,player-4
2,3,17,0.05970802158117294,player-3,15,17,16,8,player-3,player-3
2,4,17,0.06229104474186897,player-4,23,19,19,10,player-4,player-4
2,5,17,0.049416907131671906,player-1,31,23,21,14,player-1,player-1
2,6,17,0.05570892244577408,player-2,33,30,23,16,player-2,player-2
2,7,23,0.06391620263457298,player-1,43,31,29,21,player-3,player-1
2,8,18,0.05670799873769283,player-1,49,32,31,21,player-4,player-1
2,9,18,0.04295795224606991,player-2,50,45,31,22,player-1,player-2
2,10,17,0.053042080253362656,player-2,52,53,38,22,player-2,player-2
2,11,17,0.04191696643829346,player-3,54,54,45,22,player-3,player-3
2,12,18,0.06345892325043678,player-1,63,57,49,30,player-4,player-1
3,1,19,0.05075009539723396,player-1,6,3,0,1,player-3,player-1
3,2,17,0.08141715079545975,player-4,6,9,1,12,player-4,player-4
3,3,20,0.05695805884897709,player-4,8,12,1,21,player-1,player-4
3,4,18,0.06237509660422802,player-3,9,16,1,22,player-2,player-3
3,5,17,0.04854099825024605,player-3,11,16,4,25,player-3,player-3
3,6,18,0.05608308129012585,player-1,17,17,14,29,player-4,player-1
3,7,19,0.03954209387302399,none,18,17,15,32,player-1,none
