game num,round num,num_turns,duration (ms),winner,player1 pts,player2 pts,player3 pts,player4 pts
1,1,17,0.11204113252460957,player-3,1,3,2,3
1,2,20,0.0730419997125864,player-3,1,10,6,4
1,3,17,0.06720796227455139,player-1,5,13,7,7
1,4,20,0.06904220208525658,player-1,9,14,7,14
1,5,17,0.05904189310967922,player-3,10,17,11,17
1,6,20,0.09120907634496689,player-3,10,24,15,18
2,1,17,0.05350005812942982,player-1,6,3,5,1
2,2,18,0.06445799954235554,player-3,6,5,12,2
2,3,18,0.052582938224077225,player-4,9,10,13,2
2,4,17,0.051208073273301125,player-4,11,10,13,6
2,5,18,0.0514171551913023,player-2,13,14,16,6
2,6,18,0.04816683940589428,player-3,14,18,19,6
2,7,23,0.06975000724196434,none,18,18,26,13
3,1,22,0.07524993270635605,player-4,3,2,6,3
3,2,17,0.06783287972211838,player-4,3,7,9,9
3,3,20,0.0766669400036335,player-4,3,8,16,17
3,4,17,0.06087496876716614,player-2,3,18,17,21
3,5,21,0.058542005717754364,player-3,4,20,19,23
4,1,17,0.048582907766103745,player-3,2,3,7,3
4,2,29,0.08491589687764645,player-4,3,4,12,9
4,3,21,0.06841705180704594,player-1,16,8,12,19
4,4,19,0.04641711711883545,player-4,18,9,15,21
4,5,17,0.056499848142266273,player-3,22,16,19,21
5,1,17,0.08808402344584465,player-3,8,4,4,0
5,2,17,0.054957810789346695,player-4,11,9,10,8
5,3,17,0.046666013076901436,player-1,12,12,10,11
5,4,21,0.06966711953282356,player-2,16,16,18,18
5,5,28,0.07920898497104645,none,16,23,23,20
6,1,18,0.0815410166978836,player-4,3,8,4,6
6,2,18,0.06216694600880146,player-1,7,10,8,10
6,3,17,0.04783296026289463,player-1,11,10,9,17
6,4,17,0.04879198968410492,player-2,11,20,9,20
7,1,17,0.043584033846855164,player-1,4,3,2,1
7,2,17,0.05012494511902332,player-2,8,9,5,1
7,3,17,0.04312512464821339,player-3,10,13,5,3
7,4,17,0.0463330652564764,player-4,14,16,8,8
7,5,17,0.04437495954334736,player-1,17,18,13,8
7,6,17,0.03766687586903572,player-2,19,20,16,8
7,7,17,0.05083298310637474,player-3,20,23,19,8
7,8,17,0.0524159986525774,player-4,20,30,19,14
8,1,18,0.0477498397231102,player-1,2,1,1,1
8,2,17,0.06208405829966068,player-1,7,8,6,7
8,3,17,0.045459019020199776,player-2,15,19,10,10
8,4,17,0.039999838918447495,player-3,17,21,15,14
8,5,17,0.04195794463157654,player-4,21,24,18,17
9,1,17,0.05983398295938969,player-3,1,1,4,4
9,2,17,0.041458988562226295,player-4,2,4,7,8
9,3,17,0.04287506453692913,player-1,6,13,7,11
9,4,19,0.05795806646347046,player-4,11,20,11,19
9,5,17,0.04816707223653793,player-3,15,21,20,21
10,1,21,0.05829101428389549,player-3,2,2,2,0
10,2,17,0.05029188469052315,player-4,5,3,4,6
10,3,18,0.04808278754353523,player-2,12,4,6,8
10,4,20,0.0647080596536398,player-1,18,7,12,13
10,5,17,0.04304107278585434,player-3,18,9,23,13
11,1,17,0.058540841564536095,player-4,1,3,2,3
11,2,23,0.0594588927924633,player-3,5,3,6,4
11,3,17,0.05095801316201687,player-2,9,9,10,7
11,4,20,0.05466700531542301,player-2,17,13,13,12
11,5,20,0.0660829246044159,player-3,19,20,22,19
12,1,17,0.04575005732476711,player-3,6,9,7,0
12,2,20,0.0521661713719368,player-3,13,17,13,4
12,3,19,0.06949994713068008,player-3,13,27,27,5
13,1,19,0.05383300594985485,player-3,5,8,9,6
13,2,17,0.04091602750122547,player-2,7,12,10,6
13,3,22,0.0652081798762083,player-4,9,16,12,9
13,4,18,0.11479202657938004,player-1,14,19,15,12
13,5,18,0.07095793262124062,player-2,19,25,17,12
13,6,17,0.06729201413691044,player-2,22,32,18,12
14,1,20,0.062499893829226494,player-3,5,0,6,4
14,2,19,0.06429105997085571,player-3,5,2,11,12
14,3,19,0.05295802839100361,player-4,5,6,15,14
14,4,17,0.046958914026618004,player-3,10,16,16,15
14,5,18,0.05183299072086811,player-1,15,24,21,20
15,1,17,0.041833845898509026,player-3,3,3,10,1
15,2,17,0.04362477920949459,player-4,3,8,12,4
15,3,17,0.057208817452192307,player-1,5,9,13,6
15,4,17,0.04650000482797623,player-2,7,15,15,11
15,5,18,0.04600011743605137,player-4,9,19,17,16
15,6,17,0.057625118643045425,player-4,10,23,17,20
16,1,17,0.04975008778274059,player-3,10,5,1,8
16,2,20,0.05791708827018738,player-3,12,5,6,12
16,3,18,0.05466584116220474,player-2,15,14,7,13
16,4,17,0.044042011722922325,player-2,19,18,11,15
16,5,18,0.05366699770092964,player-4,22,18,15,20
16,6,18,0.04729093052446842,player-1,22,24,18,21
17,1,17,0.23950007744133472,player-2,8,5,2,2
17,2,17,0.21354202181100845,player-3,10,7,9,2
17,3,17,0.2102919388562441,player-4,11,17,14,8
17,4,20,0.27037481777369976,player-4,14,25,20,12
17,5,17,0.228791031986475,player-2,15,28,22,12
18,1,28,0.07824995554983616,player-1,2,2,0,9
18,2,17,0.04820781759917736,player-3,4,3,10,10
18,3,23,0.0775421503931284,player-2,9,6,12,13
18,4,17,0.04079192876815796,player-1,11,8,14,14
18,5,17,0.04841596819460392,player-2,11,10,19,18
18,6,18,0.051582930609583855,player-4,16,14,20,20
18,7,17,0.052833929657936096,player-4,16,22,21,32
19,1,24,0.06979191675782204,player-1,4,4,0,16
19,2,19,0.06474996916949749,player-1,12,11,10,26
19,3,17,0.04570791497826576,player-4,12,11,12,29
20,1,17,0.047708163037896156,player-4,1,1,1,6
20,2,17,0.049083027988672256,player-1,5,1,5,6
20,3,18,0.050541944801807404,player-3,7,2,7,12
20,4,23,0.06387499161064625,player-1,11,3,11,12
20,5,18,0.06308313459157944,player-1,18,3,16,17
20,6,17,0.04379195161163807,player-1,21,3,22,19
21,1,20,0.07162499241530895,player-4,2,13,2,11
21,2,17,0.04379195161163807,player-2,6,20,6,13
21,3,19,0.05266699008643627,player-1,9,23,7,15
21,4,20,0.061499886214733124,player-3,9,23,10,25
22,1,19,0.07508299313485622,player-1,2,8,5,7
22,2,22,0.06812508217990398,player-1,13,10,8,11
22,3,18,0.049208058044314384,player-2,15,13,13,11
22,4,20,0.052416929975152016,player-1,27,18,13,18
23,1,18,0.046083005145192146,player-2,2,4,7,2
23,2,21,0.05033309571444988,none,2,5,7,2
23,3,17,0.046208035200834274,player-3,5,7,12,4
